code,Z_score
GM1680,NaN
GM0358,NaN
GM0197,1.47768255372434
GM0059,0.187593310572951
GM0482,-1.96441803232538
GM0613,NaN
GM0361,-2.65134463659994
GM0141,1.70178946026796
GM0034,-2.77779945371295
GM1723,NaN
GM0484,-2.63166699783359
GM1959,-1.16916782645456
GM0307,-1.96482172833293
GM0362,-3.27030372245388
GM0363,-3.45882158076643
GM0200,0.404876849420707
GM0202,0.517863273603422
GM0106,-0.159220674180145
GM0743,NaN
GM0744,0.498495197531158
GM0308,-2.93289175105493
GM0489,-1.79423380474487
GM0203,-0.857107255594996
GM0888,4.67148903001203
GM1954,4.76669778076341
GM0889,3.08171447941166
GM1945,NaN
GM1724,3.61989655298428
GM0893,2.37226571497562
GM0373,-2.46648341262085
GM0748,-0.842841268589003
GM1859,0.966354930202357
GM1721,0.922440101634834
GM0753,1.46133261031704
GM0209,0.545460126986432
GM0375,-3.65413172902528
GM1728,3.32769663034493
GM0376,NaN
GM0377,-3.45146386788726
GM1901,-2.47229776047277
GM0755,1.32096794642447
GM1681,NaN
GM0147,1.73327670237437
GM0654,0.390526434450651
GM0757,0.962980592807438
GM0758,-0.651134691222093
GM1876,1.48712390005991
GM0213,1.34932593892901
GM0899,4.66957594365621
GM0312,-1.71692488771644
GM0313,-0.233796107883955
GM0214,-0.336522217371253
GM0502,NaN
GM0383,-2.89168478846814
GM0109,0.586827038653717
GM1706,3.29278492261112
GM0216,-1.0109228188772
GM0148,0.63260173845587
GM1891,-0.25707896032679
GM0310,-2.94943813641689
GM1940,-0.462191161920725
GM0736,-3.26843412375619
GM1690,0.25284929272317
GM0503,-2.19562371057992
GM0400,-1.35206444767843
GM0762,2.64743029057295
GM0150,NaN
GM0384,-3.40181360561973
GM1980,NaN
GM1774,NaN
GM0221,0.888312606891797
GM0222,1.549679605894
GM0766,-0.875127213238511
GM0505,-1.63219349819147
GM0498,NaN
GM1719,-1.56957194464304
GM0303,-0.910335877024733
GM0225,-0.0674315201001829
GM0226,1.50490152477115
GM1711,4.16326330939494
GM0385,-3.53713085224997
GM0228,0.334830641834039
GM0317,-3.27214839735277
GM1979,0.514553579419583
GM0770,NaN
GM1903,4.84666805560659
GM0772,2.0137411615849
GM0230,0.0569589057984661
GM0114,1.16357767856118
GM0388,-2.58525940188721
GM0153,1.03684186687368
GM0232,0.618549351290757
GM0233,-1.38532369115172
GM0777,NaN
GM0779,NaN
GM1771,2.24489268432328
GM1652,1.67439270995363
GM0907,NaN
GM0784,-0.322961113820629
GM1924,-2.04037785747146
GM0664,-0.267702178223659
GM0785,0.889569046144256
GM1942,-3.26579510204635
GM0512,-1.56360071395656
GM0513,-2.11375872959446
GM0518,-3.05685773461236
GM0014,0.036700342637741
GM1729,4.53525736368702
GM0158,NaN
GM0392,NaN
GM0394,-3.44576889738777
GM1655,-0.887685888816132
GM0160,1.02373158823291
GM0243,-0.78489136346369
GM0523,-1.82750015009446
GM0072,-1.453387682039
GM0244,0.906158338003389
GM0396,-3.47574275772082
GM0397,-3.8195133494523
GM0246,NaN
GM0074,-0.622693855188199
GM0917,3.99060942203341
GM1658,NaN
GM0399,-2.60113724006946
GM0163,0.766893244210925
GM0794,2.13187899659812
GM0531,NaN
GM0164,NaN
GM0796,0.0553875043324389
GM1966,0.0834106543283181
GM0252,1.49337408715634
GM0797,-0.481376496357086
GM0534,-3.70263739025045
GM0798,NaN
GM0402,NaN
GM1963,-1.47902719061043
GM1735,0.92059703921337
GM1911,-2.22795421670384
GM0118,0.440808993309084
GM0405,NaN
GM1507,NaN
