code,Z_score
GM1680,NaN
GM0358,NaN
GM0197,1.26212396106938
GM0059,-0.278785989500452
GM0482,-1.57348193138668
GM0613,NaN
GM0361,-3.34626248090974
GM0141,1.48304749522142
GM0034,-3.471999176445
GM1723,NaN
GM0484,-2.60670890125542
GM1959,-1.56774982231838
GM0307,-2.31472758366369
GM0362,-3.25819336891743
GM0363,-3.46871185653212
GM0200,0.117763279883873
GM0202,0.479613849016672
GM0106,-0.218551030588802
GM0743,NaN
GM0744,0.160056825452523
GM0308,-2.9985783907811
GM0489,-1.25147421725249
GM0203,-1.43029341760123
GM0888,4.89482710200772
GM1954,4.76669778076341
GM0889,3.18191478514396
GM1945,NaN
GM1724,3.26989638414112
GM0893,3.19328816262915
GM0373,-2.40289020710599
GM0748,-0.121565022682782
GM1859,1.19920011761421
GM1721,0.866833406611755
GM0753,1.93085114070836
GM0209,0.192269346788695
GM0375,-3.47028427245207
GM1728,2.04038402703078
GM0376,NaN
GM0377,-3.62266405300882
GM1901,-1.87974268193144
GM0755,1.73803397492111
GM1681,NaN
GM0147,1.74358612551737
GM0654,0.64944866021563
GM0757,0.207360736303055
GM0758,-0.908483074630325
GM1876,1.14618681078707
GM0213,0.819717787277902
GM0899,4.49428295386146
GM0312,-1.91301472197421
GM0313,-0.233796107883955
GM0214,-0.457392993829055
GM0502,NaN
GM0383,-3.04712861748666
GM0109,0.480430992358926
GM1706,3.44297085140098
GM0216,-1.02364459729908
GM0148,0.807834914376926
GM1891,-0.809294831759005
GM0310,-2.49784495969347
GM1940,-1.07687264326018
GM0736,-3.03928824352979
GM1690,0.889871070097049
GM0503,-1.98141218785064
GM0400,-1.75271708018403
GM0762,4.25303069012919
GM0150,NaN
GM0384,-3.06874620346185
GM1980,NaN
GM1774,NaN
GM0221,1.1186922725204
GM0222,1.32880804381945
GM0766,-0.54782433753413
GM0505,-1.36918772050776
GM0498,NaN
GM1719,-1.40054076847296
GM0303,-0.917128505583047
GM0225,-0.269710669514293
GM0226,1.07055733002243
GM1711,3.87710192378239
GM0385,-3.68822108525013
GM0228,-0.385783871024551
GM0317,-2.69720700428497
GM1979,0.69446734898967
GM0770,NaN
GM1903,4.51041198768751
GM0772,2.02989008626255
GM0230,0.307367645869486
GM0114,0.95745268589121
GM0388,-2.04207692896252
GM0153,1.56535705888436
GM0232,0.498066895661202
GM0233,-1.50922346703711
GM0777,NaN
GM0779,NaN
GM1771,3.11781379260406
GM1652,1.97946355838428
GM0907,NaN
GM0784,-0.351142051527474
GM1924,-1.78006286161092
GM0664,0.532231242614855
GM0785,-0.318412027717508
GM1942,-2.6937254383265
GM0512,-1.64009741382156
GM0513,-2.1319963353067
GM0518,-2.94685857156996
GM0014,0.14495849130624
GM1729,4.5149007655514
GM0158,NaN
GM0392,NaN
GM0394,-3.69902184775764
GM1655,-1.11313486681247
GM0160,0.900309511828727
GM0243,-1.44002216436733
GM0523,-1.48844419127945
GM0072,-0.814915795576546
GM0244,0.938070394981101
GM0396,-3.2803809399097
GM0397,-3.73270278835894
GM0246,NaN
GM0074,-0.88597110884047
GM0917,3.75044924071407
GM1658,NaN
GM0399,-2.56129406511645
GM0163,1.12151711109233
GM0794,2.11132878570895
GM0531,NaN
GM0164,NaN
GM0796,-0.136949817840585
GM1966,0.293363117270809
GM0252,1.75882102933296
GM0797,-0.446809933258629
GM0534,-4.13162851507309
GM0798,NaN
GM0402,NaN
GM1963,-2.21078950765886
GM1735,1.75521083672203
GM1911,-2.16990360742164
GM0118,0.301104385157871
GM0405,NaN
GM1507,NaN
