code,Z_score
GM1680,NaN
GM0358,NaN
GM0197,1.56725823431677
GM0059,-0.12481401003541
GM0482,-1.58585325192758
GM0613,NaN
GM0361,-2.85479291097338
GM0141,1.4847781033311
GM0034,-3.43196955706096
GM1723,NaN
GM0484,-2.63178999559963
GM1959,-1.48767709960398
GM0307,-2.21522421304094
GM0362,-3.38072777960768
GM0363,-3.46096271622468
GM0200,-0.0542674098886989
GM0202,0.338583142079195
GM0106,-0.0524688907156366
GM0743,NaN
GM0744,0.41449822733611
GM0308,-3.28440841549614
GM0489,-1.51901337877352
GM0203,-1.43156509005078
GM0888,4.89482710200772
GM1954,4.76669778076341
GM0889,3.18895195578621
GM1945,NaN
GM1724,4.08169610300743
GM0893,2.87269642597101
GM0373,-2.23260294545127
GM0748,-0.60433082721637
GM1859,0.924888210938029
GM1721,0.936828988243965
GM0753,1.55431949659577
GM0209,0.0432205897203108
GM0375,-3.47179987600727
GM1728,2.28935507164226
GM0376,NaN
GM0377,-3.84850346608368
GM1901,-2.14283449490404
GM0755,1.59499218727909
GM1681,NaN
GM0147,1.65543600634493
GM0654,0.285754365004874
GM0757,0.706047129980913
GM0758,-0.414201194917962
GM1876,1.31499485595335
GM0213,1.31511824171151
GM0899,4.66957594365621
GM0312,-2.15620765751746
GM0313,-0.233796107883955
GM0214,-0.72986180315766
GM0502,NaN
GM0383,-3.08965091504612
GM0109,0.821127307474399
GM1706,3.56967868566934
GM0216,-1.24355343992149
GM0148,0.833070750851662
GM1891,-0.809294831759005
GM0310,-2.27632973987692
GM1940,-0.993509337496704
GM0736,-3.15740268196265
GM1690,0.596986678904751
GM0503,-1.96960396781361
GM0400,-1.47975747687605
GM0762,4.13826130292907
GM0150,NaN
GM0384,-3.4639690824225
GM1980,NaN
GM1774,NaN
GM0221,1.61127250771355
GM0222,1.55153510574601
GM0766,-0.410483662879831
GM0505,-1.46646110248885
GM0498,NaN
GM1719,-0.982095601789603
GM0303,-0.821298964491704
GM0225,-0.54572358919774
GM0226,1.13841475342215
GM1711,3.88632180455575
GM0385,-3.76617191653043
GM0228,-0.214229127268497
GM0317,-3.26466938486116
GM1979,0.346314012520729
GM0770,NaN
GM1903,4.84666805560659
GM0772,1.85380788844367
GM0230,0.031591191039795
GM0114,0.813459792451199
GM0388,-2.0944723759209
GM0153,1.44942614196014
GM0232,1.03157789278345
GM0233,-1.6318017229949
GM0777,NaN
GM0779,NaN
GM1771,2.43334450951468
GM1652,2.01698661261833
GM0907,NaN
GM0784,-0.219929937893327
GM1924,-1.75491879951074
GM0664,0.0499989408175133
GM0785,-0.484839662235981
GM1942,-2.69602878258182
GM0512,-1.3601014141292
GM0513,-1.99255722659598
GM0518,-3.12423925340659
GM0014,0.208312186231455
GM1729,4.53525736368702
GM0158,NaN
GM0392,NaN
GM0394,-3.40595688629422
GM1655,-1.04897438254186
GM0160,0.925548414008908
GM0243,-1.20822147183256
GM0523,-1.91251390775141
GM0072,-0.927315033812858
GM0244,1.02655981637714
GM0396,-3.67826621170089
GM0397,-3.95651583305316
GM0246,NaN
GM0074,-0.602320576760452
GM0917,3.75044924071407
GM1658,NaN
GM0399,-2.48700827650654
GM0163,1.06709451381375
GM0794,2.25128750081431
GM0531,NaN
GM0164,NaN
GM0796,-0.0917174316387866
GM1966,0.293363117270809
GM0252,1.40135707775203
GM0797,-0.36898439878929
GM0534,-4.06701189400421
GM0798,NaN
GM0402,NaN
GM1963,-1.9489056387654
GM1735,1.53352053561191
GM1911,-2.07083916883224
GM0118,0.301104385157871
GM0405,NaN
