code,Z_score
GM0034,-5.47192420886236
GM0050,-3.53379139306484
GM0072,-2.27102548182023
GM0093,0.108511210285366
GM0166,-2.18286906026481
GM0171,-3.31195761288727
GM0184,-3.90966549373806
GM0230,-1.40550155583748
GM0233,-3.27395418807922
GM0243,-3.0715129917937
GM0267,-4.23745868866405
GM0269,-1.58134869067838
GM0273,-3.65768463085439
GM0302,-2.10787169471643
GM0303,-2.85479003453468
GM0313,-4.99954791014149
GM0317,-4.94047895785445
GM0363,-5.05498471005489
GM0373,-4.23042072743267
GM0375,-4.56236716487186
GM0376,-5.02608194337202
GM0377,-5.16369165806206
GM0383,-4.97018091423282
GM0384,-4.97655012849977
GM0385,-5.49650087426598
GM0388,-3.53562744604089
GM0396,-4.62438507546229
GM0400,-2.32819959564756
GM0405,-4.88134010449572
GM0406,-4.65600565411362
GM0420,-3.18848245123915
GM0441,-3.18975966779111
GM0448,-2.36742898862944
GM0453,-4.65244436197053
GM0473,-5.17842363790755
GM0498,-4.2749485772024
GM0505,-1.87078941118159
GM0518,-2.89192489365928
GM0532,-3.74628680124258
GM0537,-4.39969401459311
GM0575,-5.07650171454905
GM0599,-2.40989909935382
GM0629,-3.98465507290119
GM0654,0.94300948374895
GM0664,0.478400275215147
GM0677,0.247281015402871
GM0678,-0.0937188624681704
GM0687,0.644034885021461
GM0703,0.196145771348722
GM0715,0.813605084079434
GM0716,-0.780651809553107
GM0717,0.565369679457064
GM0718,-0.0889146863693822
GM0851,-1.62389138598462
GM0852,-5.14843402262504
GM0995,-4.74557717322411
GM1598,-4.95268560318054
GM1676,-0.366230050906303
GM1695,0.478400275215147
GM1708,-2.48887854969699
GM1709,-2.0280304161081
GM1714,0.105448287815141
GM1783,-2.81959210888074
GM1895,1.79221344626644
GM1896,-2.08092029669355
GM1900,-2.79929078412707
GM1911,-2.18512246720619
GM1924,-1.96721917425937
GM1930,-1.94544374182519
GM1940,-3.48582232219141
GM1942,-4.86826409487466
GM1949,-0.833992016523442
GM1963,-2.36590025498445
GM1966,1.05052880723252
GM1969,0.961808030361631
GM1970,-0.0638855379038272
GM1979,1.2415287182264
GM0014,0.867593062407191
GM0034,-5.40715902889335
GM0037,1.58987080498904
GM0047,1.03066669202218
GM0050,-4.5950717044589
GM0059,0.0573643012835548
GM0072,-1.62703675060585
