index,code,name,xPos,yPos
0,NL01  ,Nederland,0,1
1,GM1680,Aa en Hunze,0.888673643,0.814803521
2,GM0358,Aalsmeer,0.35310543,0.546880744
3,GM0197,Aalten,0.855652493,0.420335715
4,GM0059,Achtkarspelen,0.731531646,0.896267254
5,GM0482,Alblasserdam,0.325774726,0.399199935
6,GM0613,Albrandswaard,0.261430545,0.397017342
7,GM0361,Alkmaar,0.370326236,0.672173884
8,GM0141,Almelo,0.87459087,0.579493837
9,GM0034,Almere,0.480488418,0.586211816
10,GM1723,Alphen-Chaam,0.381641866,0.268625146
11,GM0484,Alphen aan den Rijn,0.319942953,0.4925842
12,GM1959,Altena,0.40239771,0.365197461
13,GM0060,Ameland,0.62004275,0.98409717
14,GM0307,Amersfoort,0.531831918,0.510401852
15,GM0362,Amstelveen,0.378891937,0.556009583
16,GM0363,Amsterdam,0.382021324,0.588673141
17,GM0200,Apeldoorn,0.675718732,0.516733247
18,GM0202,Arnhem,0.661196487,0.452561556
19,GM0106,Assen,0.840402534,0.819945899
20,GM0743,Asten,0.639278694,0.224114711
21,GM0744,Baarle-Nassau,0.381834694,0.242885612
22,GM0308,Baarn,0.490195616,0.523421692
23,GM0489,Barendrecht,0.287332261,0.396510896
24,GM0203,Barneveld,0.597143313,0.513349195
25,GM0888,Beek (L.),0.645756211,0.054518825
26,GM1954,Beekdaelen,0.667886636,0.057527643
27,GM0889,Beesel,0.718827529,0.181653873
28,GM1945,Berg en Dal,0.673130472,0.380983818
29,GM1724,Bergeijk,0.521963962,0.200236817
30,GM0893,Bergen (L.),0.71889439,0.299455129
31,GM0373,Bergen (NH.),0.335291837,0.696216126
32,GM0748,Bergen op Zoom,0.217465397,0.269522741
33,GM1859,Berkelland,0.865701317,0.48948352
34,GM1721,Bernheze,0.563180831,0.33331459
35,GM0753,Best,0.528412129,0.271508219
36,GM0209,Beuningen,0.62586345,0.400040361
37,GM0375,Beverwijk,0.33051825,0.627307922
38,GM1728,Bladel,0.483049816,0.218195012
39,GM0376,Blaricum,0.487549673,0.553257441
40,GM0377,Bloemendaal,0.307494562,0.588867043
41,GM1901,Bodegraven-Reeuwijk,0.35189848,0.475573399
42,GM0755,Boekel,0.612926757,0.304794005
43,GM1681,Borger-Odoorn,0.930874661,0.785198187
44,GM0147,Borne,0.899258281,0.567949803
45,GM0654,Borsele,0.08604768,0.245632705
46,GM0757,Boxtel,0.505914814,0.298470287
47,GM0758,Breda,0.356416582,0.290043585
48,GM1876,Bronckhorst,0.770366162,0.470960968
49,GM0213,Brummen,0.729968179,0.491718528
50,GM0899,Brunssum,0.692299712,0.061084971
51,GM0312,Bunnik,0.479681122,0.464490326
52,GM0313,Bunschoten,0.517372804,0.538421617
53,GM0214,Buren,0.534939431,0.424076791
54,GM0502,Capelle aan den IJssel,0.304783,0.42733612
55,GM0383,Castricum,0.334993329,0.657103543
56,GM0109,Coevorden,0.889104606,0.73035222
57,GM1706,Cranendonck,0.580307014,0.187351533
58,GM0216,Culemborg,0.476515001,0.431333741
59,GM0148,Dalfsen,0.763522281,0.640132099
60,GM1891,Dantumadiel,0.682100734,0.921440365
61,GM0310,De Bilt,0.466962705,0.50337089
62,GM1940,De Fryske Marren,0.632555429,0.793693585
63,GM0736,De Ronde Venen,0.397194886,0.536055527
64,GM1690,De Wolden,0.781929799,0.711695713
65,GM0503,Delft,0.242425108,0.451369325
66,GM0400,Den Helder,0.354949846,0.790750545
67,GM0762,Deurne,0.649346914,0.239566793
68,GM0150,Deventer,0.759924221,0.550280297
69,GM0384,Diemen,0.415194569,0.573806339
70,GM1980,Dijk en Waard,0.370080973,0.702063018
71,GM1774,Dinkelland,0.945030636,0.590658901
72,GM0221,Doesburg,0.737230083,0.457854692
73,GM0222,Doetinchem,0.773323209,0.436132481
74,GM0766,Dongen,0.406084564,0.318608657
75,GM0505,Dordrecht,0.331195693,0.366130531
76,GM0498,Drechterland,0.467155565,0.694832558
77,GM1719,Drimmelen,0.34671005,0.339087589
78,GM0303,Dronten,0.617543763,0.631718345
79,GM0225,Druten,0.58825591,0.401748181
80,GM0226,Duiven,0.702004965,0.431124689
81,GM1711,Echt-Susteren,0.670265131,0.111944561
82,GM0385,Edam-Volendam,0.423738512,0.652507641
83,GM0228,Ede,0.624605465,0.476578045
84,GM0317,Eemnes,0.495685464,0.542440439
85,GM1979,Eemsdelta,0.89507983,0.943871231
86,GM0770,Eersel,0.512993057,0.226296091
87,GM1903,Eijsden-Margraten,0.634124679,0.009548217
88,GM0772,Eindhoven,0.543477506,0.246674157
89,GM0230,Elburg,0.65087475,0.603120726
90,GM0114,Emmen,0.951663828,0.731917421
91,GM0388,Enkhuizen,0.494678429,0.713888329
92,GM0153,Enschede,0.934769101,0.535947925
93,GM0232,Epe,0.684094286,0.571074168
94,GM0233,Ermelo,0.601269813,0.554838676
95,GM0777,Etten-Leur,0.318024698,0.294460345
96,GM0779,Geertruidenberg,0.383990542,0.338281962
97,GM1771,Geldrop-Mierlo,0.583198424,0.240544069
98,GM1652,Gemert-Bakel,0.628769275,0.280927174
99,GM0907,Gennep,0.695036955,0.338348001
100,GM0784,Gilze en Rijen,0.393445802,0.289279232
101,GM1924,Goeree-Overflakkee,0.174592691,0.360279764
102,GM0664,Goes,0.09715058,0.274582759
103,GM0785,Goirle,0.42700859,0.267906489
104,GM1942,Gooise Meren,0.459879911,0.560374359
105,GM0512,Gorinchem,0.412867004,0.391719286
106,GM0513,Gouda,0.338832816,0.457475381
107,GM0518,'s-Gravenhage,0.220477978,0.478286952
108,GM0014,Groningen,0.845108591,0.898754316
109,GM1729,Gulpen-Wittem,0.668789534,0.007795998
110,GM0158,Haaksbergen,0.91001248,0.512613816
111,GM0392,Haarlem,0.321814496,0.592372101
112,GM0394,Haarlemmermeer,0.341257101,0.570263279
113,GM1655,Halderberge,0.281891236,0.299854746
114,GM0160,Hardenberg,0.866490448,0.662465386
115,GM0243,Harderwijk,0.599327746,0.575576145
116,GM0523,Hardinxveld-Giessendam,0.369648399,0.390922099
117,GM0072,Harlingen,0.541790259,0.883948797
118,GM0244,Hattem,0.710636825,0.626468309
119,GM0396,Heemskerk,0.322243147,0.638506794
120,GM0397,Heemstede,0.314643697,0.577298348
121,GM0246,Heerde,0.705367631,0.600296318
122,GM0074,Heerenveen,0.670867012,0.818660432
123,GM0917,Heerlen,0.694419006,0.036612939
124,GM1658,Heeze-Leende,0.579558745,0.213687725
125,GM0399,Heiloo,0.339629733,0.672654395
126,GM0163,Hellendoorn,0.817857917,0.595447828
127,GM0794,Helmond,0.604141504,0.256024097
128,GM0531,Hendrik-Ido-Ambacht,0.316763106,0.394325659
129,GM0164,Hengelo (O.),0.913075369,0.546114943
130,GM0796,'s-Hertogenbosch,0.517277249,0.344690338
131,GM1966,Het Hogeland,0.807540587,0.953345294
132,GM0252,Heumen,0.64774983,0.369569361
133,GM0797,Heusden,0.464084128,0.335395869
134,GM0534,Hillegom,0.302035606,0.559760685
135,GM0798,Hilvarenbeek,0.458641698,0.260960846
136,GM0402,Hilversum,0.467011858,0.535500578
137,GM1963,Hoeksche Waard,0.2617212,0.366037452
138,GM1735,Hof van Twente,0.850228539,0.539508624
139,GM1911,Hollands Kroon,0.403024852,0.764944991
140,GM0118,Hoogeveen,0.826689478,0.720076796
141,GM0405,Hoorn,0.440682203,0.692549787
142,GM1507,Horst aan de Maas,0.706116805,0.248277897
143,GM0321,Houten,0.467873928,0.453055892
144,GM0406,Huizen,0.482850851,0.557780027
145,GM0677,Hulst,0.159818725,0.204367049
146,GM1884,Kaag en Braassem,0.314929968,0.522056676
147,GM0166,Kampen,0.674446186,0.652970556
148,GM0678,Kapelle,0.127856468,0.264377446
149,GM0537,Katwijk,0.258788111,0.520700459
150,GM0928,Kerkrade,0.7165376,0.035639831
151,GM1598,Koggenland,0.407377063,0.689109031
152,GM0542,Krimpen aan den IJssel,0.309893004,0.420249417
153,GM1931,Krimpenerwaard,0.351462273,0.434399985
154,GM1659,Laarbeek,0.588896551,0.277630225
155,GM1982,Land van Cuijk,0.655141121,0.326180071
156,GM0882,Landgraaf,0.706977851,0.04591657
157,GM0415,Landsmeer,0.398293613,0.616656991
158,GM1621,Lansingerland,0.282477293,0.455198751
159,GM0417,Laren (NH.),0.478814092,0.539478193
160,GM0080,Leeuwarden,0.640294848,0.881823087
161,GM0546,Leiden,0.276015008,0.507237005
162,GM0547,Leiderdorp,0.293193678,0.509009221
163,GM1916,Leidschendam-Voorburg,0.26216186,0.485656085
164,GM0995,Lelystad,0.561981591,0.648602925
165,GM1640,Leudal,0.668878986,0.167824256
166,GM0327,Leusden,0.534598346,0.496264415
167,GM1705,Lingewaard,0.680314621,0.416361109
168,GM0553,Lisse,0.293274758,0.544906984
169,GM0262,Lochem,0.789538625,0.514877398
170,GM0809,Loon op Zand,0.431433477,0.317853922
171,GM0331,Lopik,0.40262841,0.443623941
172,GM0168,Losser,0.96586771,0.56469557
173,GM0263,Maasdriel,0.506281134,0.370866017
174,GM1641,Maasgouw,0.668777874,0.139803294
175,GM1991,Maashorst,0.60115601,0.337840891
176,GM0556,Maassluis,0.208864495,0.425030174
177,GM0935,Maastricht,0.613641805,0.028993247
178,GM0420,Medemblik,0.455810724,0.715527959
179,GM0938,Meerssen,0.624487716,0.046329334
180,GM1948,Meierijstad,0.561966915,0.298274703
181,GM0119,Meppel,0.741248313,0.716889239
182,GM0687,Middelburg (Z.),0.037823055,0.271118394
183,GM1842,Midden-Delfland,0.231109563,0.440984532
184,GM1731,Midden-Drenthe,0.84718229,0.773109041
185,GM1952,Midden-Groningen,0.90060051,0.890208115
186,GM1709,Moerdijk,0.287765565,0.32674479
187,GM1978,Molenlanden,0.372646734,0.410352905
188,GM1955,Montferland,0.752552675,0.423018244
189,GM0335,Montfoort,0.405272706,0.466914823
190,GM0944,Mook en Middelaar,0.670428324,0.357556541
191,GM1740,Neder-Betuwe,0.589254456,0.421116974
192,GM0946,Nederweert,0.627398065,0.189226327
193,GM0356,Nieuwegein,0.444458274,0.461165294
194,GM0569,Nieuwkoop,0.358458044,0.512455542
195,GM0267,Nijkerk,0.551217684,0.528950194
196,GM0268,Nijmegen,0.651417972,0.392273456
197,GM1930,Nissewaard,0.225915501,0.389061345
198,GM1970,Noardeast-Fryslân,0.676310988,0.941033856
199,GM1695,Noord-Beveland,0.08134614,0.293713344
200,GM1699,Noordenveld,0.805004797,0.855411485
201,GM0171,Noordoostpolder,0.628943418,0.718214565
202,GM0575,Noordwijk,0.278453855,0.550065206
203,GM0820,"Nuenen, Gerwen en Nederwetten",0.569749126,0.260496509
204,GM0302,Nunspeet,0.638092814,0.574553603
205,GM0579,Oegstgeest,0.273693058,0.51897583
206,GM0823,Oirschot,0.501565864,0.261565538
207,GM0824,Oisterwijk,0.473151447,0.290092658
208,GM1895,Oldambt,0.978179624,0.892380162
209,GM0269,Oldebroek,0.680448525,0.618870304
210,GM0173,Oldenzaal,0.943869892,0.567169933
211,GM1773,Olst-Wijhe,0.734303435,0.589376268
212,GM0175,Ommen,0.817651847,0.639680435
213,GM1586,Oost Gelre,0.850561426,0.458048181
214,GM0826,Oosterhout,0.379785123,0.314831304
215,GM0085,Ooststellingwerf,0.774258689,0.816813807
216,GM0431,Oostzaan,0.383806929,0.617162492
217,GM0432,Opmeer,0.404248577,0.713428
218,GM0086,Opsterland,0.716941113,0.836888494
219,GM0828,Oss,0.566227131,0.368250961
220,GM1509,Oude IJsselstreek,0.804332136,0.415864574
221,GM0437,Ouder-Amstel,0.396426296,0.559021818
222,GM0589,Oudewater,0.378784877,0.459623357
223,GM1734,Overbetuwe,0.636443438,0.421529596
224,GM0590,Papendrecht,0.336339322,0.389843499
