"index","code","name","xPos","yPos"
0,"NL01  ","Nederland",0,0
1,"GM1680","Aa en Hunze",245044.474553749,555796.296
2,"GM0358","Aalsmeer",112128.17002448,474963.761
3,"GM0197","Aalten",236849.348054264,436785.015500002
4,"GM0059","Achtkarspelen",206045.271520582,580373.975000001
5,"GM0482","Alblasserdam",105345.287803943,430408.3325
6,"GM0613","Albrandswaard",89376.4708027393,429749.842
7,"GM0361","Alkmaar",116401.997022228,512764.8105
8,"GM0141","Almelo",241549.438645808,484803.159499999
9,"GM0034","Almere",143741.838621228,486829.979499999
10,"GM1723","Alphen-Chaam",119210.288694238,391013.805
11,"GM0484","Alphen aan den Rijn",103897.969395865,458582.446500001
12,"GM1959","Altena",124361.434810188,420149.7565
13,"GM0060","Ameland",178376.168424999,606872.33725
14,"GM0307","Amersfoort",156484.17113455,463958.047500001
15,"GM0362","Amstelveen",118527.81639843,477717.939499998
16,"GM0363","Amsterdam",119304.461817917,487572.563449999
17,"GM0200","Apeldoorn",192193.728212601,465868.234999999
18,"GM0202","Arnhem",188589.624811436,446507.58
19,"GM0106","Assen",233064.642244239,557347.755999999
20,"GM0743","Asten",183150.108695375,377584.968
21,"GM0744","Baarle-Nassau",119258.144442204,383248.164999999
22,"GM0308","Baarn",146150.952689582,467886.144499999
23,"GM0489","Barendrecht",95804.7096423895,429597.046999998
24,"GM0203","Barneveld",172693.029558871,464847.263499999
25,"GM0888","Beek (L.)",184757.686541531,326417.7415
26,"GM1954","Beekdaelen",190249.9733739,327325.504500002
27,"GM0889","Beesel",202892.38767056,364774.49615
28,"GM1945","Berg en Dal",191551.378639455,424912.514
29,"GM1724","Bergeijk",154035.160530427,370380.986500001
30,"GM0893","Bergen (L.)",202908.981066556,400315.237500001
31,"GM0373","Bergen (NH.)",107707.226189346,520018.375849999
32,"GM0748","Bergen op Zoom",78465.2835968152,391284.609999999
33,"GM1859","Berkelland",239343.246314544,457646.968499999
34,"GM1721","Bernheze",164264.285169068,410530.6665
35,"GM0753","Best",155635.45441128,391883.6305
36,"GM0209","Beuningen",179820.738727744,430661.8895
37,"GM0375","Beverwijk",106522.526569841,499228.7105
38,"GM1728","Bladel",144377.521645179,375798.989499999
39,"GM0376","Blaricum",145494.287661341,476887.616
40,"GM0377","Bloemendaal",100808.551131913,487631.063999999
41,"GM1901","Bodegraven-Reeuwijk",111828.631491064,453450.272999998
42,"GM0755","Boekel",176610.134742437,401925.981000001
43,"GM1681","Borger-Odoorn",255517.843335288,546864.341
44,"GM0147","Borne",247671.349934873,481320.3145
45,"GM0654","Borsele",45850.2834890895,384076.96535
46,"GM0757","Boxtel",150052.113406738,400018.109999999
47,"GM0758","Breda",112949.925551248,397475.7665
48,"GM1876","Bronckhorst",215683.148041685,452058.6985
49,"GM0213","Brummen",205657.25314243,458321.272500001
50,"GM0899","Brunssum",196308.764489086,328398.753500002
51,"GM0312","Bunnik",143541.485614675,450106.5
52,"GM0313","Bunschoten",152895.735841674,472411.635
53,"GM0214","Buren",157255.387881634,437913.7015
54,"GM0502","Capelle aan den IJssel",100135.600846533,438897.044
55,"GM0383","Castricum",107633.143042728,508218.0755
56,"GM0109","Coevorden",245151.430035583,530317.264999999
57,"GM1706","Cranendonck",168514.628826384,366493.485000001
58,"GM0216","Culemborg",142755.723686583,440103.1295
59,"GM0148","Dalfsen",213984.646552466,503097.776000001
60,"GM1891","Dantumadiel",193777.601380978,587968.7245
61,"GM0310","De Bilt",140385.052829834,461836.800000001
62,"GM1940","De Fryske Marren",181481.541473772,549427.41
63,"GM0736","De Ronde Venen",123070.207661971,471697.783499999
64,"GM1690","De Wolden",218552.98963785,524688.580499999
65,"GM0503","Delft",84659.7374839723,446147.882750001
66,"GM0400","Den Helder",112585.913688075,548539.492099999
67,"GM0762","Deurne",185648.820240947,382246.874499999
68,"GM0150","Deventer",213091.686878497,475989.409
69,"GM0384","Diemen",127537.334841916,483087.236499999
70,"GM1980","Dijk en Waard",116341.128096965,521782.388
71,"GM1774","Dinkelland",259031.046349973,488171.669
72,"GM0221","Doesburg",207459.498816108,448104.523499999
73,"GM0222","Doetinchem",216417.022295429,441550.913500002
74,"GM0766","Dongen",125276.431083478,406093.873500001
75,"GM0505","Dordrecht",106690.653006224,420431.2645
76,"GM0498","Drechterland",140432.916431967,519600.952
77,"GM1719","Drimmelen",110540.976726423,412272.385200001
78,"GM0303","Dronten",177755.974530078,500559.339050001
79,"GM0225","Druten",170487.370743668,431177.1405
80,"GM0226","Duiven",198717.39568947,440040.058499999
81,"GM1711","Echt-Susteren",190840.263807838,343743.135849999
82,"GM0385","Edam-Volendam",129657.754436388,506831.487849999
83,"GM0228","Ede",179508.534516151,453753.375500001
84,"GM0317","Eemnes",147513.412795044,473624.117000001
85,"GM1979","Eemsdelta",246634.350022806,594736.136299999
86,"GM0770","Eersel",151808.778515868,378243.092
87,"GM1903","Eijsden-Margraten",181870.994965703,312850.07
88,"GM0772","Eindhoven",159374.351130947,384391.172499999
89,"GM0230","Elburg",186027.995720173,491931.4125
90,"GM0114","Emmen",260677.259277551,530789.487500001
91,"GM0388","Enkhuizen",147263.488655932,525350.094700001
92,"GM0153","Enschede",256484.358000243,471665.319999998
93,"GM0232","Epe",194272.35738659,482262.937999999
94,"GM0233","Ermelo",173717.136607662,477364.676000001
95,"GM0777","Etten-Leur",103421.900501069,398808.307
96,"GM0779","Geertruidenberg",119793.178576486,412029.327
97,"GM1771","Geldrop-Mierlo",169232.213281134,382541.7195
98,"GM1652","Gemert-Bakel",180541.900835655,394725.3375
99,"GM0907","Gennep",196988.088154487,412049.251
100,"GM0784","Gilze en Rijen",122139.767178023,397245.160499999
101,"GM1924","Goeree-Overflakkee",67825.2167333894,418666.08275
102,"GM0664","Goes",48605.7803396841,392811.221999999
103,"GM0785","Goirle",130469.316233555,390796.9855
104,"GM1942","Gooise Meren",138627.258584516,479034.796499999
105,"GM0512","Gorinchem",126959.684258427,428151.414000001
106,"GM0513","Gouda",108586.019786146,447990.085000001
107,"GM0518","'s-Gravenhage",79212.9402007986,454268.954149999
108,"GM0014","Groningen",234232.5825771,581124.324000001
109,"GM1729","Gulpen-Wittem",190474.052880058,312321.424000001
110,"GM0158","Haaksbergen",250340.306603152,464625.399
111,"GM0392","Haarlem",104362.445438865,488688.543
112,"GM0394","Haarlemmermeer",109187.674101145,482018.291999999
113,"GM1655","Halderberge",94454.3662165257,400435.8025
114,"GM0160","Hardenberg",239539.091175952,509835.748000002
115,"GM0243","Harderwijk",173235.15797613,483621.1885
116,"GM0523","Hardinxveld-Giessendam",116233.772813854,427910.902000001
117,"GM0072","Harlingen",158955.613368036,576657.4858
118,"GM0244","Hattem",200859.634338097,498975.398499999
119,"GM0396","Heemskerk",104468.827234129,502607.420000002
120,"GM0397","Heemstede",102582.80994037,484140.7785
121,"GM0246","Heerde",199551.935658342,491079.286
122,"GM0074","Heerenveen",190989.637456836,556959.929500001
123,"GM0917","Heerlen",196834.726767258,321015.52
124,"GM1658","Heeze-Leende",168328.924769589,374439.137
125,"GM0399","Heiloo",108783.797039214,512909.780999999
126,"GM0163","Hellendoorn",227469.561742187,489616.4925
127,"GM0794","Helmond",174429.827336175,387212.057499999
128,"GM0531","Hendrik-Ido-Ambacht",103108.801052426,428937.759
129,"GM0164","Hengelo (O.)",251100.448709122,474732.718
130,"GM0796","'s-Hertogenbosch",152872.0209698,413962.739499999
131,"GM1966","Het Hogeland",224909.026461731,597594.4695
132,"GM0252","Heumen",185252.459018532,421468.762500001
133,"GM0797","Heusden",139670.653143229,411158.59
